in s,C1 in V
-1.1907240E+01,6.10840E-01
-1.1907066E+01,6.10840E-01
-1.1906892E+01,6.15723E-01
-1.1906718E+01,6.25488E-01
-1.1906544E+01,6.30371E-01
-1.1906370E+01,6.25488E-01
-1.1906196E+01,6.25488E-01
-1.1906022E+01,6.30371E-01
-1.1905848E+01,6.30371E-01
-1.1905674E+01,8.54980E-01
-1.1905500E+01,9.37988E-01
-1.1905326E+01,9.57520E-01
-1.1905152E+01,9.62402E-01
-1.1904978E+01,9.62402E-01
-1.1904804E+01,7.67090E-01
-1.1904630E+01,6.93848E-01
-1.1904456E+01,6.79199E-01
-1.1904282E+01,6.59668E-01
-1.1904108E+01,6.84082E-01
-1.1903934E+01,6.74316E-01
-1.1903760E+01,6.84082E-01
-1.1903586E+01,6.64551E-01
-1.1903412E+01,6.59668E-01
-1.1903238E+01,6.25488E-01
-1.1903064E+01,6.35254E-01
-1.1902890E+01,6.40137E-01
-1.1902716E+01,6.49902E-01
-1.1902542E+01,6.45020E-01
-1.1902368E+01,6.40137E-01
-1.1902194E+01,6.40137E-01
-1.1902020E+01,8.40332E-01
-1.1901846E+01,9.33105E-01
-1.1901672E+01,9.37988E-01
-1.1901498E+01,9.72168E-01
-1.1901324E+01,9.62402E-01
-1.1901150E+01,7.91504E-01
-1.1900976E+01,6.98730E-01
-1.1900802E+01,6.74316E-01
-1.1900628E+01,6.84082E-01
-1.1900454E+01,6.74316E-01
-1.1900280E+01,6.79199E-01
-1.1900106E+01,6.59668E-01
-1.1899932E+01,6.35254E-01
-1.1899758E+01,6.25488E-01
-1.1899584E+01,6.05957E-01
-1.1899410E+01,6.20605E-01
-1.1899236E+01,6.20605E-01
-1.1899062E+01,6.15723E-01
-1.1898888E+01,6.15723E-01
-1.1898714E+01,6.10840E-01
-1.1898540E+01,6.15723E-01
-1.1898366E+01,6.05957E-01
-1.1898192E+01,6.15723E-01
-1.1898018E+01,5.96191E-01
-1.1897844E+01,6.05957E-01
-1.1897670E+01,6.20605E-01
-1.1897496E+01,6.35254E-01
-1.1897322E+01,8.69629E-01
-1.1897148E+01,9.18457E-01
-1.1896974E+01,9.52637E-01
-1.1896800E+01,9.57520E-01
-1.1896626E+01,9.62402E-01
-1.1896452E+01,7.57324E-01
-1.1896278E+01,6.84082E-01
-1.1896104E+01,6.79199E-01
-1.1895930E+01,6.59668E-01
-1.1895756E+01,6.74316E-01
-1.1895582E+01,6.59668E-01
-1.1895408E+01,6.64551E-01
-1.1895234E+01,6.20605E-01
-1.1895060E+01,6.49902E-01
-1.1894886E+01,6.35254E-01
-1.1894712E+01,6.30371E-01
-1.1894538E+01,6.40137E-01
-1.1894364E+01,6.35254E-01
-1.1894190E+01,6.40137E-01
-1.1894016E+01,6.40137E-01
-1.1893842E+01,6.35254E-01
-1.1893668E+01,8.59863E-01
-1.1893494E+01,9.42871E-01
-1.1893320E+01,9.67285E-01
-1.1893146E+01,9.86816E-01
